"  [ 144.746967484243214, -37.854045855377436 ] "
"  [ 147.791716486300885, -36.66398203083984 ] "
"  [ 145.497680500885679, -38.215284485584135 ] "
"  [ 146.610877617258069, -36.010251565135185 ] "
"  [ 145.070734875932629, -37.967245072668497 ] "
"  [ 145.234140889347657, -37.987105071395973 ] "
"  [ 145.038429264484591, -37.903688483615731 ] "
"  [ 145.115107243803436, -37.774232750432624 ] "
"  [ 146.393661165995695, -36.066121004983735 ] "
"  [ 142.657848589610012, -37.397949335637691 ] "
"  [ 143.20381109747197, -37.375007505612921 ] "
"  [ 144.839288257473385, -37.746317821131377 ] "
"  [ 144.839288257473385, -37.746317821131377 ] "
"  [ 144.796385722010797, -37.743828534609484 ] "
"  [ 143.184049524997363, -38.61007849692767 ] "
"  [ 143.184049524997363, -38.61007849692767 ] "
"  [ 145.48866791055147, -38.139069954510397 ] "
"  [ 146.167226264844999, -38.506291984627154 ] "
"  [ 145.688446953570349, -37.533978343690762 ] "
"  [ 145.289780278589973, -37.852135248680121 ] "
"  [ 144.694018583703922, -37.887688086149019 ] "
"  [ 144.957757497544492, -37.687600205489822 ] "
"  [ 142.362466433192424, -34.48259035927645 ] "
"  [ 146.191978973225076, -38.201424752976948 ] "
"  [ 144.815438949553396, -37.764590494410449 ] "
"  [ 144.719837190415234, -38.324705250405003 ] "
"  [ 142.088920789507085, -37.7436733642772 ] "
"  [ 144.864377111291475, -37.840451454073339 ] "
"  [ 144.699106922599583, -37.972918919557493 ] "
"  [ 145.331030832811422, -36.829719321421415 ] "
"  [ 142.768066368906346, -34.617879893685298 ] "
"  [ 145.590369005892939, -38.068233266069882 ] "
"  [ 144.770830705801217, -37.759356025074155 ] "
"  [ 145.24111617059134, -36.460359972961776 ] "
"  [ 144.997299296275514, -37.810224251492933 ] "
"  [ 144.869490331589446, -38.397841725911007 ] "
"  [ 145.019858943458388, -37.727498975323854 ] "
"  [ 145.184587941566775, -38.15425771987281 ] "
"  [ 144.794711704161728, -37.700175029494012 ] "
"  [ 145.706566904187667, -38.323669174189433 ] "
"  [ 143.894226987012644, -37.083699640932082 ] "
"  [ 145.907382593786309, -37.614400172820865 ] "
"  [ 147.426610669134391, -37.862360096462126 ] "
"  [ 145.837820421841172, -38.117177823028449 ] "
"  [ 145.139888950171155, -38.108729742565927 ] "
"  [ 144.934454954918749, -37.803881977038017 ] "
